full_name,pay_mon,pay_countpermon,pay_amount,,,,,,,
AnaBradley,2007-02-01T00:00:00.000Z,4,19.96,,,,,,,
AnaBradley,2007-03-01T00:00:00.000Z,16,71.84,,,,,,,
AnaBradley,2007-04-01T00:00:00.000Z,12,72.88,,,,,,,
AnaBradley,2007-05-01T00:00:00.000Z,1,2.99,,,,,,,
ClaraShaw,2007-02-01T00:00:00.000Z,6,22.94,,,,,,,
ClaraShaw,2007-03-01T00:00:00.000Z,16,72.84,,,,,,,
ClaraShaw,2007-04-01T00:00:00.000Z,18,93.82,,,,,,,
CurtisIrby,2007-02-01T00:00:00.000Z,6,22.94,,,,,,,
CurtisIrby,2007-03-01T00:00:00.000Z,17,86.83,,,,,,,
CurtisIrby,2007-04-01T00:00:00.000Z,14,54.86,,,,,,,
CurtisIrby,2007-05-01T00:00:00.000Z,1,2.99,,,,,,,
EleanorHunt,2007-02-01T00:00:00.000Z,5,22.95,,,,,,,
EleanorHunt,2007-03-01T00:00:00.000Z,18,87.82,,,,,,,
EleanorHunt,2007-04-01T00:00:00.000Z,22,100.78,,,,,,,
KarlSeal,2007-02-01T00:00:00.000Z,9,41.91,,,,,,,
KarlSeal,2007-03-01T00:00:00.000Z,13,76.87,,,,,,,
KarlSeal,2007-04-01T00:00:00.000Z,20,89.8,,,,,,,
,,,,,,,,,,
MarciaDean,2007-02-01T00:00:00.000Z,8,37.92,,,,,,,
MarciaDean,2007-03-01T00:00:00.000Z,10,53.9,,,,,,,
MarciaDean,2007-04-01T00:00:00.000Z,20,73.8,,,,,,,
MarciaDean,2007-05-01T00:00:00.000Z,1,0.99,,,,,,,
,,,,,,,,,,
MarionSnyder,2007-02-01T00:00:00.000Z,8,44.92,,,,,,,
MarionSnyder,2007-03-01T00:00:00.000Z,12,58.88,,,,,,,
MarionSnyder,2007-04-01T00:00:00.000Z,18,85.82,,,,,,,
MarionSnyder,2007-05-01T00:00:00.000Z,1,4.99,,,,,,,
,,,,,,,,,,
MikeWay,2007-02-01T00:00:00.000Z,6,35.94,,,,,,,
MikeWay,2007-03-01T00:00:00.000Z,15,64.85,,,,,,,
MikeWay,2007-04-01T00:00:00.000Z,12,61.88,,,,,,,
,,,,,,,,,,
RhondaKennedy,2007-02-01T00:00:00.000Z,4,19.96,,,,,,,
RhondaKennedy,2007-03-01T00:00:00.000Z,15,74.85,,,,,,,
RhondaKennedy,2007-04-01T00:00:00.000Z,19,96.81,,,,,,,
,,,,,,,,,,
TommyCollazo,2007-02-01T00:00:00.000Z,7,25.93,,,,,,,
TommyCollazo,2007-03-01T00:00:00.000Z,12,67.88,,,,,,,
TommyCollazo,2007-04-01T00:00:00.000Z,18,89.82,,,,,,,
,,,,,,,,,,
,AnaBradley,ClaraShaw,CurtisIrby,EleanorHunt,KarlSeal,MarciaDean,MarionSnyder,MikeWay,RhondaKennedy,TommyCollazo
200702,19.96,22.94,22.94,22.95,41.91,37.92,44.92,35.94,19.96,25.93
200703,71.84,72.84,86.83,87.82,76.87,53.9,58.88,64.85,74.85,67.88
200704,72.88,93.82,54.86,100.78,89.8,73.8,85.82,61.88,96.81,89.82
